timestamp,symbol,side,qty,avg_entry_price,cost_basis,unrealized_pl,unrealized_plpc
2025-06-16T14:13:36.068833,SPY250616P00604000,short,-82,1.109878,-9101,,
2025-06-16T14:14:50.244175,QQQ250616P00533000,long,35,0.406,1421,,
2025-06-16T14:14:50.244201,QQQ250616P00534000,long,197,0.563428,11099.5263,,
2025-06-16T14:14:50.244204,QQQ250616P00535000,short,-232,1.008966,-23408,,
2025-06-16T14:14:50.244207,SPY250616P00602000,long,78,0.521538,4068,,
2025-06-16T14:14:50.244209,SPY250616P00603000,long,4,0.60378,241.5122,,
2025-06-16T14:14:50.244211,SPY250616P00604000,short,-82,1.109878,-9101,,
2025-06-16T14:16:04.653544,QQQ250616P00533000,long,35,0.406,1421,,
2025-06-16T14:16:04.653565,QQQ250616P00534000,long,197,0.563428,11099.5263,,
2025-06-16T14:16:04.653569,QQQ250616P00535000,short,-232,1.008966,-23408,,
2025-06-16T14:16:04.653572,SPY250616P00602000,long,78,0.521538,4068,,
2025-06-16T14:16:04.653574,SPY250616P00603000,long,4,0.60378,241.5122,,
2025-06-16T14:16:04.653587,SPY250616P00604000,short,-82,1.109878,-9101,,
2025-06-16T14:17:30.968770,QQQ250616P00533000,long,35,0.406,1421,,
2025-06-16T14:17:30.968781,QQQ250616P00534000,long,197,0.563428,11099.5263,,
2025-06-16T14:17:30.968784,QQQ250616P00535000,short,-232,1.008966,-23408,,
2025-06-16T14:17:30.968786,SPY250616P00602000,long,78,0.521538,4068,,
2025-06-16T14:17:30.968787,SPY250616P00603000,long,4,0.60378,241.5122,,
2025-06-16T14:17:30.968789,SPY250616P00604000,short,-82,1.109878,-9101,,
2025-06-16T14:18:44.848968,QQQ250616P00533000,long,35,0.406,1421,,
2025-06-16T14:18:44.848983,QQQ250616P00534000,long,206,0.565462,11648.5263,,
2025-06-16T14:18:44.848987,QQQ250616P00535000,short,-241,1.013859,-24434,,
2025-06-16T14:18:44.848989,SPY250616P00602000,long,78,0.521538,4068,,
2025-06-16T14:18:44.848991,SPY250616P00603000,long,4,0.60378,241.5122,,
2025-06-16T14:18:44.848993,SPY250616P00604000,short,-82,1.109878,-9101,,
2025-06-16T14:19:58.745664,QQQ250616P00533000,long,35,0.406,1421,,
2025-06-16T14:19:58.745676,QQQ250616P00534000,long,214,0.567501,12144.5264,,
2025-06-16T14:19:58.745678,QQQ250616P00535000,short,-249,1.018233,-25354,,
2025-06-16T14:19:58.745681,SPY250616P00602000,long,78,0.521538,4068,,
2025-06-16T14:19:58.745682,SPY250616P00603000,long,4,0.60378,241.5122,,
2025-06-16T14:19:58.745684,SPY250616P00604000,short,-82,1.109878,-9101,,
2025-06-16T14:21:13.237432,QQQ250616P00533000,long,35,0.406,1421,,
2025-06-16T14:21:13.237444,QQQ250616P00534000,long,214,0.567501,12144.5264,,
2025-06-16T14:21:13.237446,QQQ250616P00535000,short,-249,1.018233,-25354,,
2025-06-16T14:21:13.237449,SPY250616P00602000,long,78,0.521538,4068,,
2025-06-16T14:21:13.237451,SPY250616P00603000,long,4,0.60378,241.5122,,
2025-06-16T14:21:13.237453,SPY250616P00604000,short,-82,1.109878,-9101,,
2025-06-16T14:22:42.462678,QQQ250616P00533000,long,43,0.399302,1717,,
2025-06-16T14:22:42.462691,QQQ250616P00534000,long,206,0.567501,11690.5254,,
2025-06-16T14:22:42.462694,QQQ250616P00535000,short,-249,1.018233,-25354,,
2025-06-16T14:22:42.462696,SPY250616P00602000,long,78,0.521538,4068,,
2025-06-16T14:22:42.462698,SPY250616P00603000,long,4,0.60378,241.5122,,
2025-06-16T14:22:42.462699,SPY250616P00604000,short,-82,1.109878,-9101,,
2025-06-16T14:23:56.972007,QQQ250616P00533000,long,43,0.399302,1717,,
2025-06-16T14:23:56.972020,QQQ250616P00534000,long,206,0.567501,11690.5254,,
2025-06-16T14:23:56.972023,QQQ250616P00535000,short,-249,1.018233,-25354,,
2025-06-16T14:23:56.972025,SPY250616P00602000,long,78,0.521538,4068,,
2025-06-16T14:23:56.972027,SPY250616P00603000,long,4,0.60378,241.5122,,
2025-06-16T14:23:56.972028,SPY250616P00604000,short,-82,1.109878,-9101,,
2025-06-16T14:25:11.575530,QQQ250616P00533000,long,43,0.399302,1717,,
2025-06-16T14:25:11.575550,QQQ250616P00534000,long,206,0.567501,11690.5254,,
2025-06-16T14:25:11.575554,QQQ250616P00535000,short,-249,1.018233,-25354,,
2025-06-16T14:25:11.575556,SPY250616P00602000,long,78,0.521538,4068,,
2025-06-16T14:25:11.575558,SPY250616P00603000,long,4,0.60378,241.5122,,
2025-06-16T14:25:11.575559,SPY250616P00604000,short,-82,1.109878,-9101,,
2025-06-16T14:26:25.761814,QQQ250616P00533000,long,43,0.399302,1717,,
2025-06-16T14:26:25.761833,QQQ250616P00534000,long,206,0.567501,11690.5254,,
2025-06-16T14:26:25.761836,QQQ250616P00535000,short,-249,1.018233,-25354,,
2025-06-16T14:26:25.761842,SPY250616P00602000,long,78,0.521538,4068,,
2025-06-16T14:26:25.761845,SPY250616P00603000,long,4,0.60378,241.5122,,
2025-06-16T14:26:25.761847,SPY250616P00604000,short,-82,1.109878,-9101,,
2025-06-16T14:27:39.590924,QQQ250616P00533000,long,43,0.399302,1717,,
2025-06-16T14:27:39.590935,QQQ250616P00534000,long,215,0.568024,12212.5254,,
2025-06-16T14:27:39.590937,QQQ250616P00535000,short,-258,1.021434,-26353,,
2025-06-16T14:27:39.590940,SPY250616P00602000,long,78,0.521538,4068,,
2025-06-16T14:27:39.590942,SPY250616P00603000,long,4,0.60378,241.5122,,
2025-06-16T14:27:39.590943,SPY250616P00604000,short,-82,1.109878,-9101,,
2025-06-16T14:28:53.588923,QQQ250616P00533000,long,43,0.399302,1717,,
2025-06-16T14:28:53.588943,QQQ250616P00534000,long,224,0.567702,12716.5254,,
2025-06-16T14:28:53.588947,QQQ250616P00535000,short,-267,1.023408,-27325,,
2025-06-16T14:28:53.588949,SPY250616P00602000,long,78,0.521538,4068,,
2025-06-16T14:28:53.588951,SPY250616P00603000,long,4,0.60378,241.5122,,
2025-06-16T14:28:53.588953,SPY250616P00604000,short,-82,1.109878,-9101,,
2025-06-16T14:30:07.795597,QQQ250616P00533000,long,43,0.399302,1717,,
2025-06-16T14:30:07.795609,QQQ250616P00534000,long,233,0.566246,13193.5254,,
2025-06-16T14:30:07.795611,QQQ250616P00535000,short,-276,1.024275,-28270,,
2025-06-16T14:30:07.795613,SPY250616P00602000,long,78,0.521538,4068,,
2025-06-16T14:30:07.795615,SPY250616P00603000,long,4,0.60378,241.5122,,
2025-06-16T14:30:07.795617,SPY250616P00604000,short,-82,1.109878,-9101,,
2025-06-16T14:31:22.145202,QQQ250616P00533000,long,43,0.399302,1717,,
